table_name,ordinal_position,column_name,data_type,udt_name,character_maximum_length,numeric_precision,numeric_scale,is_nullable,column_default,is_generated,generation_expression
arsenals,1,id,uuid,uuid,null,null,null,NO,gen_random_uuid(),NEVER,null
arsenals,2,created_at,timestamp with time zone,timestamptz,null,null,null,NO,now(),NEVER,null
arsenals,3,bowler_name,text,text,null,null,null,YES,null,NEVER,null
arsenals,4,ball,text,text,null,null,null,YES,null,NEVER,null
arsenals,5,created_by,uuid,uuid,null,null,null,YES,gen_random_uuid(),NEVER,null
arsenals,6,layout_system,text,text,null,null,null,YES,null,NEVER,null
arsenals,7,layout_values,jsonb,jsonb,null,null,null,YES,null,NEVER,null
arsenals,9,group_id,uuid,uuid,null,null,null,YES,null,NEVER,null
arsenals,10,coverstock,text,text,null,null,null,YES,null,NEVER,null
arsenals,11,core_type,text,text,null,null,null,YES,null,NEVER,null
arsenals,12,weight,numeric,numeric,null,null,null,YES,null,NEVER,null
arsenals,13,rg,numeric,numeric,null,null,null,YES,null,NEVER,null
arsenals,14,diff,numeric,numeric,null,null,null,YES,null,NEVER,null
arsenals,15,int_diff,numeric,numeric,null,null,null,YES,null,NEVER,null
friendships,1,id,uuid,uuid,null,null,null,NO,gen_random_uuid(),NEVER,null
friendships,2,requester_id,uuid,uuid,null,null,null,NO,null,NEVER,null
friendships,3,addressee_id,uuid,uuid,null,null,null,NO,null,NEVER,null
friendships,4,status,text,text,null,null,null,NO,'pending'::text,NEVER,null
friendships,5,created_at,timestamp with time zone,timestamptz,null,null,null,NO,now(),NEVER,null
friendships,6,responded_at,timestamp with time zone,timestamptz,null,null,null,YES,null,NEVER,null
lane_patterns,1,id,uuid,uuid,null,null,null,NO,gen_random_uuid(),NEVER,null
lane_patterns,2,team_id,uuid,uuid,null,null,null,YES,null,NEVER,null
lane_patterns,3,league_id,uuid,uuid,null,null,null,YES,null,NEVER,null
lane_patterns,4,date,date,date,null,null,null,NO,null,NEVER,null
lane_patterns,5,lane,text,text,null,null,null,NO,null,NEVER,null
lane_patterns,6,pattern_type,text,text,null,null,null,NO,'house'::text,NEVER,null
lane_patterns,7,pattern_name,text,text,null,null,null,NO,''::text,NEVER,null
lane_patterns,8,length,text,text,null,null,null,NO,''::text,NEVER,null
lane_patterns,9,volume,text,text,null,null,null,NO,''::text,NEVER,null
lane_patterns,10,ratio,text,text,null,null,null,NO,''::text,NEVER,null
lane_patterns,11,created_at,timestamp with time zone,timestamptz,null,null,null,NO,now(),NEVER,null
lane_patterns,12,updated_at,timestamp with time zone,timestamptz,null,null,null,NO,now(),NEVER,null
leagues,1,id,uuid,uuid,null,null,null,NO,gen_random_uuid(),NEVER,null
leagues,2,name,text,text,null,null,null,NO,null,NEVER,null
leagues,3,created_by,uuid,uuid,null,null,null,YES,null,NEVER,null
leagues,4,created_at,timestamp with time zone,timestamptz,null,null,null,NO,now(),NEVER,null
leagues,5,center_id,uuid,uuid,null,null,null,YES,null,NEVER,null
leagues,6,start_date,date,date,null,null,null,YES,null,NEVER,null
leagues,7,end_date,date,date,null,null,null,YES,null,NEVER,null
matches,1,id,uuid,uuid,null,null,null,NO,gen_random_uuid(),NEVER,null
matches,2,team_id,uuid,uuid,null,null,null,YES,null,NEVER,null
matches,3,league_id,uuid,uuid,null,null,null,YES,null,NEVER,null
matches,4,date,date,date,null,null,null,NO,null,NEVER,null
matches,5,games,jsonb,jsonb,null,null,null,NO,"'[null, null, null]'::jsonb",NEVER,null
matches,6,series,boolean,bool,null,null,null,YES,null,NEVER,null
matches,7,opponent,text,text,null,null,null,NO,''::text,NEVER,null
matches,8,handicap,text,text,null,null,null,NO,''::text,NEVER,null
matches,9,created_at,timestamp with time zone,timestamptz,null,null,null,NO,now(),NEVER,null
matches,10,updated_at,timestamp with time zone,timestamptz,null,null,null,NO,now(),NEVER,null
profiles,1,id,uuid,uuid,null,null,null,NO,null,NEVER,null
