tablename,indexname,indexdef
profiles,profiles_pkey,CREATE UNIQUE INDEX profiles_pkey ON public.profiles USING btree (id)
sessions,sessions_bowler_name_idx,CREATE INDEX sessions_bowler_name_idx ON public.sessions USING btree (bowler_name)
sessions,sessions_bowler_name_league_id_date_key,"CREATE UNIQUE INDEX sessions_bowler_name_league_id_date_key ON public.sessions USING btree (bowler_name, league_id, date)"
sessions,sessions_pkey,CREATE UNIQUE INDEX sessions_pkey ON public.sessions USING btree (id)
sessions,sessions_team_id_idx,CREATE INDEX sessions_team_id_idx ON public.sessions USING btree (team_id)
sessions,sessions_user_id_idx,CREATE INDEX sessions_user_id_idx ON public.sessions USING btree (user_id)
shots,shots_bowler_name_idx,CREATE INDEX shots_bowler_name_idx ON public.shots USING btree (bowler_name)
shots,shots_pkey,CREATE UNIQUE INDEX shots_pkey ON public.shots USING btree (id)
shots,shots_team_id_idx,CREATE INDEX shots_team_id_idx ON public.shots USING btree (team_id)
shots,shots_user_date_idx,"CREATE INDEX shots_user_date_idx ON public.shots USING btree (user_id, date)"
shots,shots_user_id_idx,CREATE INDEX shots_user_id_idx ON public.shots USING btree (user_id)
team_members,team_members_pkey,"CREATE UNIQUE INDEX team_members_pkey ON public.team_members USING btree (team_id, user_id)"
team_members,team_members_user_id_idx,CREATE INDEX team_members_user_id_idx ON public.team_members USING btree (user_id)
teams,teams_league_id_idx,CREATE INDEX teams_league_id_idx ON public.teams USING btree (league_id)
teams,teams_pkey,CREATE UNIQUE INDEX teams_pkey ON public.teams USING btree (id)
user_preferences,user_preferences_pkey,CREATE UNIQUE INDEX user_preferences_pkey ON public.user_preferences USING btree (user_id)
user_preferences,user_preferences_user_id_key,CREATE UNIQUE INDEX user_preferences_user_id_key ON public.user_preferences USING btree (user_id)
