tablename,policyname,cmd,permissive,roles,using_clause,with_check
arsenals,authenticated users can view arsenals,SELECT,PERMISSIVE,{authenticated},true,null
arsenals,users can add their own arsenal entries,INSERT,PERMISSIVE,{public},null,(created_by = auth.uid())
arsenals,users can remove their own arsenal entries,DELETE,PERMISSIVE,{public},(created_by = auth.uid()),null
arsenals,users can update their own arsenal entries,UPDATE,PERMISSIVE,{public},(created_by = auth.uid()),(created_by = auth.uid())
friendships,either side can delete a friendship,DELETE,PERMISSIVE,{authenticated},((requester_id = auth.uid()) OR (addressee_id = auth.uid())),null
friendships,either side can respond to or cancel a request,UPDATE,PERMISSIVE,{authenticated},((requester_id = auth.uid()) OR (addressee_id = auth.uid())),((requester_id = auth.uid()) OR (addressee_id = auth.uid()))
friendships,users can send friend requests,INSERT,PERMISSIVE,{authenticated},null,(requester_id = auth.uid())
friendships,users can view friendships they're part of,SELECT,PERMISSIVE,{authenticated},((requester_id = auth.uid()) OR (addressee_id = auth.uid())),null
lane_patterns,team members can delete their team's lane patterns,DELETE,PERMISSIVE,{authenticated},((team_id IS NOT NULL) AND is_team_member(team_id)),null
lane_patterns,team members can log lane patterns for their team,INSERT,PERMISSIVE,{authenticated},null,((team_id IS NOT NULL) AND is_team_member(team_id))
lane_patterns,team members can update their team's lane patterns,UPDATE,PERMISSIVE,{authenticated},((team_id IS NOT NULL) AND is_team_member(team_id)),((team_id IS NOT NULL) AND is_team_member(team_id))
lane_patterns,team members can view their team's lane patterns,SELECT,PERMISSIVE,{authenticated},((team_id IS NOT NULL) AND is_team_member(team_id)),null
leagues,authenticated users can create leagues,INSERT,PERMISSIVE,{authenticated},null,true
leagues,league members can rename their league,UPDATE,PERMISSIVE,{public},is_league_member(id),is_league_member(id)
leagues,leagues are viewable by any authenticated user,SELECT,PERMISSIVE,{authenticated},true,null
matches,team members can delete their team's matches,DELETE,PERMISSIVE,{authenticated},((team_id IS NOT NULL) AND is_team_member(team_id)),null
matches,team members can log matches for their team,INSERT,PERMISSIVE,{authenticated},null,((team_id IS NOT NULL) AND is_team_member(team_id))
matches,team members can update their team's matches,UPDATE,PERMISSIVE,{authenticated},((team_id IS NOT NULL) AND is_team_member(team_id)),((team_id IS NOT NULL) AND is_team_member(team_id))
matches,team members can view their team's matches,SELECT,PERMISSIVE,{authenticated},((team_id IS NOT NULL) AND is_team_member(team_id)),null
profiles,profiles are viewable by any authenticated user,SELECT,PERMISSIVE,{authenticated},true,null
profiles,users can insert their own profile,INSERT,PERMISSIVE,{authenticated},null,(id = auth.uid())
profiles,users can update their own profile,UPDATE,PERMISSIVE,{authenticated},(id = auth.uid()),(id = auth.uid())
sessions,coaches can view their bowler's sessions,SELECT,PERMISSIVE,{authenticated},is_accepted_coach_of(user_id),null
sessions,friends can view each other's sessions,SELECT,PERMISSIVE,{authenticated},are_friends(user_id),null
sessions,teammates can view each other's sessions,SELECT,PERMISSIVE,{authenticated},((team_id IS NOT NULL) AND is_team_member(team_id)),null
sessions,users can delete their own sessions,DELETE,PERMISSIVE,{authenticated},(user_id = auth.uid()),null
sessions,users can insert their own sessions,INSERT,PERMISSIVE,{authenticated},null,(user_id = auth.uid())
sessions,users can update their own sessions,UPDATE,PERMISSIVE,{authenticated},(user_id = auth.uid()),(user_id = auth.uid())
sessions,users can view their own sessions,SELECT,PERMISSIVE,{authenticated},(user_id = auth.uid()),null
shots,coaches can view their bowler's shots,SELECT,PERMISSIVE,{authenticated},is_accepted_coach_of(user_id),null
shots,friends can view each other's shots,SELECT,PERMISSIVE,{authenticated},are_friends(user_id),null
shots,teammates can view each other's shots,SELECT,PERMISSIVE,{authenticated},((team_id IS NOT NULL) AND is_team_member(team_id)),null
shots,users can delete their own shots,DELETE,PERMISSIVE,{authenticated},(user_id = auth.uid()),null
shots,users can insert their own shots,INSERT,PERMISSIVE,{authenticated},null,(user_id = auth.uid())
shots,users can update their own shots,UPDATE,PERMISSIVE,{authenticated},(user_id = auth.uid()),(user_id = auth.uid())
shots,users can view their own shots,SELECT,PERMISSIVE,{authenticated},(user_id = auth.uid()),null
team_members,"team members can add rosters, creators can bootstrap, invitees ",INSERT,PERMISSIVE,{public},null,"(is_team_member(team_id) OR ((user_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM teams
  WHERE ((teams.id = team_members.team_id) AND (teams.created_by = auth.uid()))))) OR ((user_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM pending_invites
  WHERE ((pending_invites.team_id = team_members.team_id) AND (pending_invites.invited_email = (auth.jwt() ->> 'email'::text)) AND (pending_invites.accepted_at IS NULL))))))"
team_members,team members can remove roster entries,DELETE,PERMISSIVE,{authenticated},is_team_member(team_id),null
team_members,team members can reorder the lineup,UPDATE,PERMISSIVE,{authenticated},is_team_member(team_id),is_team_member(team_id)
team_members,team members can reorder their team's roster,UPDATE,PERMISSIVE,{authenticated},is_team_member(team_id),is_team_member(team_id)
team_members,team rosters are viewable by any authenticated user,SELECT,PERMISSIVE,{authenticated},true,null
teams,authenticated users can create teams,INSERT,PERMISSIVE,{authenticated},null,true
teams,team members can rename their team,UPDATE,PERMISSIVE,{public},is_team_member(id),is_team_member(id)
teams,teams are viewable by any authenticated user,SELECT,PERMISSIVE,{authenticated},true,null
user_preferences,users can insert their own preferences,INSERT,PERMISSIVE,{public},null,(user_id = auth.uid())
user_preferences,users can update their own preferences,UPDATE,PERMISSIVE,{public},(user_id = auth.uid()),(user_id = auth.uid())
user_preferences,users can view their own preferences,SELECT,PERMISSIVE,{public},(user_id = auth.uid()),null
