kind,object_name,detail,extra
column,api_usage,called_at,timestamp with time zone NOT NULL
column,api_usage,endpoint,text NOT NULL
column,api_usage,id,uuid NOT NULL
column,api_usage,user_id,uuid NOT NULL
column,arsenals,ball,text
column,arsenals,bowler_name,text
column,arsenals,core_type,text
column,arsenals,coverstock,text
column,arsenals,created_at,timestamp with time zone NOT NULL
column,arsenals,created_by,uuid
column,arsenals,diff,numeric
column,arsenals,group_id,uuid
column,arsenals,id,uuid NOT NULL
column,arsenals,int_diff,numeric
column,arsenals,layout_system,text
column,arsenals,layout_values,jsonb
column,arsenals,rg,numeric
column,arsenals,weight,numeric
column,bags,bag_type,text NOT NULL
column,bags,ball_limit,integer
column,bags,bowler_name,text NOT NULL
column,bags,created_at,timestamp with time zone NOT NULL
column,bags,created_by,uuid
column,bags,id,uuid NOT NULL
column,bags,includes_plastic,boolean NOT NULL
column,bags,name,text NOT NULL
column,ball_bags,bag_id,uuid NOT NULL
column,ball_bags,ball,text NOT NULL
column,ball_bags,bowler_name,text NOT NULL
column,ball_bags,created_at,timestamp with time zone NOT NULL
column,ball_bags,created_by,uuid
column,ball_bags,id,uuid NOT NULL
column,ball_confirmations,confirmed_by,uuid
column,ball_confirmations,created_at,timestamp with time zone NOT NULL
column,ball_confirmations,id,uuid NOT NULL
column,ball_confirmations,submission_id,uuid NOT NULL
column,ball_confirmations,vote,text NOT NULL
column,ball_groups,bowler_name,text NOT NULL
column,ball_groups,created_at,timestamp with time zone NOT NULL
column,ball_groups,created_by,uuid
column,ball_groups,id,uuid NOT NULL
column,ball_groups,name,text NOT NULL
column,ball_groups,sort_order,integer NOT NULL
column,ball_submissions,ball_key,text NOT NULL
column,ball_submissions,ball_name,text NOT NULL
column,ball_submissions,brand,text
column,ball_submissions,core_type,text
column,ball_submissions,coverstock,text
column,ball_submissions,created_at,timestamp with time zone NOT NULL
column,ball_submissions,diff,numeric
column,ball_submissions,id,uuid NOT NULL
column,ball_submissions,int_diff,numeric
column,ball_submissions,official,boolean NOT NULL
column,ball_submissions,rg,numeric
column,ball_submissions,source_note,text
column,ball_submissions,submitted_by,uuid
column,ball_submissions,updated_at,timestamp with time zone NOT NULL
column,ball_submissions,weight,numeric
column,ball_submissions,weight_specs,jsonb
column,bowler_goals,bowler_name,text NOT NULL
column,bowler_goals,created_at,timestamp with time zone NOT NULL
column,bowler_goals,created_by,uuid
column,bowler_goals,goals,jsonb NOT NULL
column,bowler_goals,id,uuid NOT NULL
column,bowler_goals,updated_at,timestamp with time zone NOT NULL
column,bowler_names,created_at,timestamp with time zone NOT NULL
column,bowler_names,created_by,uuid
column,bowler_names,id,uuid NOT NULL
column,bowler_names,left_handed,boolean NOT NULL
column,bowler_names,name,text
column,bowler_profiles,aliases,jsonb
column,bowler_profiles,book_average,numeric
column,bowler_profiles,book_average_as_of,date
column,bowler_profiles,book_games,integer
column,bowler_profiles,book_season,text
column,bowler_profiles,bowler_name,text NOT NULL
column,bowler_profiles,created_at,timestamp with time zone NOT NULL
column,bowler_profiles,created_by,uuid
column,bowler_profiles,home_centers,text[] NOT NULL
column,bowler_profiles,id,uuid NOT NULL
column,bowler_profiles,is_coach,boolean NOT NULL
column,bowler_profiles,left_handed,boolean NOT NULL
column,bowler_profiles,notes,text
column,bowler_profiles,two_handed,boolean NOT NULL
column,bowler_profiles,updated_at,timestamp with time zone NOT NULL
column,bowling_centers,address,text
column,bowling_centers,city,text
column,bowling_centers,country,text
column,bowling_centers,created_at,timestamp with time zone NOT NULL
column,bowling_centers,created_by,uuid
column,bowling_centers,here_id,text
column,bowling_centers,id,uuid NOT NULL
column,bowling_centers,lat,numeric
column,bowling_centers,lng,numeric
column,bowling_centers,name,text NOT NULL
column,bowling_centers,postal_code,text
column,bowling_centers,state,text
column,coaching_notes,author_id,uuid NOT NULL
column,coaching_notes,body,text NOT NULL
column,coaching_notes,created_at,timestamp with time zone NOT NULL
column,coaching_notes,id,uuid NOT NULL
column,coaching_notes,relationship_id,uuid NOT NULL
column,coaching_relationships,bowler_id,uuid NOT NULL
column,coaching_relationships,coach_id,uuid NOT NULL
column,coaching_relationships,created_at,timestamp with time zone NOT NULL
column,coaching_relationships,id,uuid NOT NULL
column,coaching_relationships,next_session,date
column,coaching_relationships,next_session_note,text
column,coaching_relationships,requested_by,uuid NOT NULL
column,coaching_relationships,status,text NOT NULL
column,coaching_relationships,updated_at,timestamp with time zone NOT NULL
column,coaching_tasks,assigned_by,uuid NOT NULL
column,coaching_tasks,bowler_note,text
column,coaching_tasks,completed_at,timestamp with time zone
